Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol
4900,0.03,0.5525951609389566,-0.004211514755973983,12.613204740837787,0.006765832039312067,-1.3531916533314894e-05,86.34524978852915,4889.222007989883,1.000842571258545,4900.0,0.03,0.406
5000,0.03,0.8002990928623532,-0.006264467194405329,17.96004473420007,0.009946039588114464,-1.7805044748785247e-05,124.26229735248717,4989.002048969269,1.000842571258545,5000.0,0.03,0.381
5100,0.03,1.9534536206515725,-0.014017167884914996,36.32082414737778,0.022333989456571723,-2.5183282938949823e-05,269.9884179138935,5088.782089948654,1.000842571258545,5100.0,0.03,0.381
5200,0.03,4.357342456525913,-0.028549473361194306,66.38793561268157,0.045790221835126155,-2.4552398809159936e-05,529.7602887999492,5188.56213092804,1.000842571258545,5200.0,0.03,0.381
5300,0.03,6.8799002242158735,-0.044588247377417387,95.65809403665402,0.07148263973795377,-1.251042349000557e-05,785.2610550496247,5288.342171907425,1.000842571258545,5300.0,0.03,0.361
5400,0.03,9.212955485832481,-0.06230045234005446,124.72509137571218,0.09951550898798489,1.2381671952788932e-05,1026.306252938779,5388.12221288681,1.000842571258545,5400.0,0.03,0.32799999999999996
5500,0.03,16.785154044413503,-0.10580715199591706,185.89735828321662,0.17147768894299875,0.00011151173900795716,1600.7606654904594,5487.902253866196,1.000842571258545,5500.0,0.03,0.318
5600,0.03,29.9211488643474,-0.1724849775775742,259.67517970310973,0.2858025658192509,0.0003302316009274357,2309.3783063184455,5587.682294845581,1.000842571258545,5600.0,0.03,0.31
5650,0.03,36.551455850016055,-0.20878879068049955,292.0156020939953,0.3493245077968661,0.0004886052334044156,2570.518125357128,5637.572315335274,1.000842571258545,5650.0,0.03,0.297
5700,0.03,43.17981095872574,-0.24907981418064684,322.4477589352952,0.42105599884462563,0.0007047842698626242,2750.873239313354,5687.462335824966,1.000842571258545,5700.0,0.03,0.27899999999999997
5750,0.03,49.75571643883791,-0.29559365455386905,351.1177515238665,0.50581546418492,0.001019079797934762,2811.1258158270575,5737.352356314659,1.000842571258545,5750.0,0.03,0.256
5800,0.03,56.410196250051285,-0.35245992499359613,377.53618748837914,0.6130145060031804,0.001517637506813955,2664.993181540798,5787.242376804352,1.000842571258545,5800.0,0.03,0.228
5850,0.03,62.83725549818837,-0.4270180662164721,398.79436140892517,0.7608943209028798,0.0024263373640949033,2071.007561603401,5837.1323972940445,1.000842571258545,5850.0,0.03,0.193
5900,0.03,82.08239882969383,-0.5311080795702368,404.3667421397585,0.9889886826341012,0.003672654892226167,602.047144427539,5887.022417783737,1.000842571258545,5900.0,0.03,0.18
5950,0.03,124.9867513887757,-0.6132903377499044,389.1340498134949,1.1932712310582758,0.003873078163448258,-1094.3724482201942,5936.91243827343,1.000842571258545,5950.0,0.03,0.214
6000,0.03,167.41709667784426,-0.6757464067754176,365.57625508250555,1.3635960620234844,0.0040226233969836685,-3178.7056888650986,5986.802458763123,1.000842571258545,6000.0,0.03,0.239
6050,0.03,210.26147123804094,-0.7265126989693624,338.317926180297,1.514946983281627,0.004136181105331594,-5625.031318208203,6036.692479252815,1.000842571258545,6050.0,0.03,0.259
6100,0.03,252.94038281109533,-0.7712929097315702,307.74183495538955,1.6612148942453793,0.0042837150064681286,-8640.8916395478,6086.582499742508,1.000842571258545,6100.0,0.03,0.273
6150,0.03,295.51849798705643,-0.8128143302516041,273.3674391813139,1.8117802109280277,0.004490412885111607,-12506.296266053221,6136.472520232201,1.000842571258545,6150.0,0.03,0.281
