Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol
4674.47,0.2,1.536190535274777,-0.006477214568826742,49.841253379817665,0.011670126541815262,-1.2137562477647083e-05,45.849326353118045,4629.906940149069,1.0004464387893677,4674.47,0.2,0.257813
4867.9,0.2,4.071201699689482,-0.015703834709555373,107.90315308148097,0.027925224225509554,-1.6567092207291382e-05,106.71578896024516,4821.492916619777,1.0004464387893677,4867.9,0.2,0.255469
5061.32,0.2,8.86178913531458,-0.031912428864103386,196.16498533453193,0.056097767078602534,-1.3610531511518202e-05,205.66910270460494,5013.068988423347,1.0004464387893677,5061.32,0.2,0.249219
5254.75,0.2,16.51887572334448,-0.056879428182303966,312.90487736252516,0.0989745319540487,4.633337414429331e-06,342.08182242273597,5204.654964894056,1.0004464387893677,5254.75,0.2,0.238281
5448.18,0.2,32.99131706758283,-0.10326469488957601,492.1136273302571,0.18007279805759557,6.36483351708342e-05,563.8864118062211,5396.240941364766,1.0004464387893677,5448.18,0.2,0.23398400000000003
5641.6,0.2,57.49216919568585,-0.1674464230739432,686.4695516092065,0.29352387062595753,0.00017954340932301938,795.5627774822951,5587.8170131683355,1.0004464387893677,5641.6,0.2,0.224609
5835.03,0.2,91.19586910337625,-0.252607774819558,875.2613058424835,0.44751849273947286,0.0003848112483083679,962.363192222394,5779.402989639044,1.0004464387893677,5835.03,0.2,0.20976599999999998
6028.46,0.2,151.86517479265422,-0.3726972349076363,1036.6849920800664,0.679760724250992,0.0007229375748706653,929.1781347906526,5970.988966109752,1.0004464387893677,6028.46,0.2,0.204297
6221.88,0.2,226.619075110214,-0.5118278063291813,1092.326028334523,0.9710769474533407,0.0012385035053431187,285.63212491345666,6162.565037913322,1.0004464387893677,6221.88,0.2,0.18916
6415.31,0.2,340.9030762461621,-0.655814777667219,1008.356180610946,1.3203014214400284,0.0017937713085347607,-1414.8361399838395,6354.151014384031,1.0004464387893677,6415.31,0.2,0.185449
6608.74,0.2,477.2513845649919,-0.7874641267841456,795.0292889823935,1.712921201977693,0.0024104798712870244,-4950.756825388024,6545.73699085474,1.0004464387893677,6608.74,0.2,0.177344
6802.16,0.2,640.7195609031287,-0.8778120230534918,554.9723257974596,2.0752710370790926,0.002774089612521916,-10148.200418263557,6737.31306265831,1.0004464387893677,6802.16,0.2,0.176953
